Név;Kategória;Méret (cl);Szint (%);Tartalom (cl);Állapot
Jameson;Whisky;70;78;55;OK
Bacardi;Rum;70;42;29;OK
Absolut;Vodka;70;91;64;OK
Hendrick's;Gin;70;25;18;Figyelj rá
Patrón Silver;Tequila;70;60;42;OK
Jack Daniel's;Whisky;100;15;15;Kritikus
Havana 7;Rum;70;25;18;Figyelj rá
Grey Goose;Vodka;70;88;62;OK
Bulleit Bourbon;Whisky;70;7;5;Kritikus
Campari;Likőr;70;33;23;OK
Tanqueray;Gin;70;72;50;OK
Palinka Ági;Pálinka;50;48;24;OK
asdas;Whisky;70;100;70;OK
eeeee;Whisky;70;100;70;OK
ddd;Whisky;70;100;70;OK
apenta isotonic;Egyéb;75;100;75;OK
